album,track_number,id,artist,name,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
album,1,7ccTcabbJlCJiIqtrSSwBk,Eminem,Premonition - Intro,spotify:track:7ccTcabbJlCJiIqtrSSwBk,0.847,0.637,-5.193,0.367,0.0258,0.000648,0.382,0.511,165.979,75
album,2,0q2vG0UVuy6ajjcpkQHdZM,Eminem,Unaccommodating (feat. Young M.A),spotify:track:0q2vG0UVuy6ajjcpkQHdZM,0.852,0.752,-5.793,0.0597,0.0169,0,0.394,0.389,89.95,78
album,3,0GQ5bFTVFFKpwNPc7KwQnB,Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,0.68,0.82,-4.197,0.151,0.0614,0,0.597,0.243,140.033,79
album,4,4EmunTy7kNBYQivOa8F6b8,Eminem,Alfred - Interlude,spotify:track:4EmunTy7kNBYQivOa8F6b8,0.429,0.231,-20.43,0.402,0.878,0,0.279,0.914,74.545,71
album,5,0VSzREd1OjEWJ9tXoFHRQH,Eminem,Those Kinda Nights (feat. Ed Sheeran),spotify:track:0VSzREd1OjEWJ9tXoFHRQH,0.794,0.637,-6.29,0.339,0.028,0,0.0919,0.393,103.868,80
album,6,7Dj2wqPYXfSRFwa6qyOztr,Eminem,In Too Deep,spotify:track:7Dj2wqPYXfSRFwa6qyOztr,0.72,0.767,-5.839,0.214,0.0387,0,0.202,0.595,88.966,75
album,7,7FIWs0pqAYbP91WWM0vlTQ,Eminem,Godzilla (feat. Juice WRLD),spotify:track:7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,-5.26,0.342,0.145,0,0.292,0.829,165.995,94
album,8,5SiZJoLXp3WOl3J4C8IK0d,Eminem,Darkness,spotify:track:5SiZJoLXp3WOl3J4C8IK0d,0.671,0.623,-7.161,0.308,0.00998,7.55E-06,0.643,0.195,75.055,79
album,9,5CpsIb7SMFHjmAG8RvIWfq,Eminem,Leaving Heaven (feat. Skylar Grey),spotify:track:5CpsIb7SMFHjmAG8RvIWfq,0.661,0.748,-4.809,0.206,0.175,0,0.254,0.509,171.983,77
album,10,5mZXWEH2eh8zMZGCxT5aW0,Eminem,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",spotify:track:5mZXWEH2eh8zMZGCxT5aW0,0.458,0.966,-2.107,0.384,0.14,0,0.11,0.356,183.586,73
album,11,2d3fdQ6OxmUIsF20eCpcrv,Eminem,Stepdad - Intro,spotify:track:2d3fdQ6OxmUIsF20eCpcrv,0.589,0.459,-7.748,0.263,0.178,0,0.425,0.619,113.542,15
album,12,3QVHSV8YKYq4L8tI5rnFgj,Eminem,Stepdad,spotify:track:3QVHSV8YKYq4L8tI5rnFgj,0.779,0.805,-3.121,0.178,0.018,0,0.321,0.557,145.68,74
album,13,34d7sGX6WUqq8f04e7CSNF,Eminem,Marsh,spotify:track:34d7sGX6WUqq8f04e7CSNF,0.871,0.493,-6.356,0.205,0.0134,0.000241,0.385,0.0495,144.989,75
album,14,40YbWniIEmqy6s58fYXLUh,Eminem,Never Love Again,spotify:track:40YbWniIEmqy6s58fYXLUh,0.747,0.899,-5.125,0.246,0.1,0,0.486,0.581,92.029,74
album,15,4qNWEOMyexn7b8Icyk29t9,Eminem,Little Engine,spotify:track:4qNWEOMyexn7b8Icyk29t9,0.769,0.811,-4.162,0.228,0.0234,0,0.0451,0.76,155.081,74
Music To Be Murdered By,16,1qwMkkRiD5jqLeUUjfgblh,Eminem,Lock It Up (feat. Anderson .Paak),spotify:track:1qwMkkRiD5jqLeUUjfgblh,0.848,0.745,-3.052,0.221,0.0949,0,0.0796,0.516,137.024,76
Music To Be Murdered By,17,74gykWHknHDrg4eMdcmdRq,Eminem,Farewell,spotify:track:74gykWHknHDrg4eMdcmdRq,0.89,0.664,-6.625,0.106,0.00487,0,0.257,0.467,93.007,74
Music To Be Murdered By,18,1lO9CZo6eDrOy0S7khgryG,Eminem,No Regrets (feat. Don Toliver),spotify:track:1lO9CZo6eDrOy0S7khgryG,0.756,0.747,-5.407,0.046,0.0048,0.00536,0.588,0.0687,134.935,75
Music To Be Murdered By,19,3CJbxqRQ0JNCqboWDNUUeX,Eminem,"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",spotify:track:3CJbxqRQ0JNCqboWDNUUeX,0.635,0.543,-5.941,0.067,0.0454,0.000678,0.272,0.036,98.743,73
Music To Be Murdered By,20,1WAwILvz37MkmZfmGnEXfg,Eminem,Alfred - Outro,spotify:track:1WAwILvz37MkmZfmGnEXfg,0.476,0.237,-14.514,0.0486,0.177,0,0.217,0.0387,106.972,68
Kamikaze,1,2jt2WxXMCD4zjACthkJQVE,Eminem,The Ringer,spotify:track:2jt2WxXMCD4zjACthkJQVE,0.939,0.551,-9.126,0.291,0.0311,0,0.192,0.42,118.552,72
Kamikaze,2,2XTquzYQAdT1Hk78bOUwsv,Eminem,Greatest,spotify:track:2XTquzYQAdT1Hk78bOUwsv,0.809,0.737,-5.186,0.108,0.0441,0,0.341,0.367,80.025,70
Kamikaze,3,60SdxE8apGAxMiRrpbmLY0,Eminem,Lucky You (feat. Joyner Lucas),spotify:track:60SdxE8apGAxMiRrpbmLY0,0.876,0.786,-4.884,0.306,0.0627,0,0.127,0.575,153.068,79
Kamikaze,4,0Uv5Kp8sEnriJjkX4oLfNI,Eminem,Paul - Skit,spotify:track:0Uv5Kp8sEnriJjkX4oLfNI,0.636,0.335,-13.327,0.966,0.993,0,0.342,0.561,161.68,61
Kamikaze,5,0evt4UZbdhnHtcAnxkm6A1,Eminem,Normal,spotify:track:0evt4UZbdhnHtcAnxkm6A1,0.907,0.64,-6.542,0.354,0.261,0,0.0785,0.803,120.995,65
Kamikaze,6,6B3zy3LOKHndqsviCr2z15,Eminem,Em Calls Paul - Skit,spotify:track:6B3zy3LOKHndqsviCr2z15,0.707,0.314,-10.115,0.747,0.977,0,0.109,0.602,104.014,61
Kamikaze,7,60Z57Wdrn0pEVpHI7d7GAX,Eminem,Stepping Stone,spotify:track:60Z57Wdrn0pEVpHI7d7GAX,0.616,0.684,-6.032,0.311,0.0305,0,0.376,0.312,179.503,65
Kamikaze,8,28FGV3ORH14MYORd7s5dlU,Eminem,Not Alike (feat. Royce Da 5'9),spotify:track:28FGV3ORH14MYORd7s5dlU,0.904,0.756,-3.746,0.32,0.0692,0,0.339,0.342,140.005,70
Kamikaze,9,2gsNpSn7VvvJuSrIDfRoYy,Eminem,Kamikaze,spotify:track:2gsNpSn7VvvJuSrIDfRoYy,0.78,0.808,-5.175,0.484,0.112,0,0.329,0.642,79.982,70
